寞,[mò] lonesome; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
封,[Fēng] surname Feng; [fēng] to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
师,[Shī] surname Shi; [shī] teacher; master; expert; model; army division; (old) troops; to dispatch troops; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
庆,[qìng] to celebrate; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
弟,[dì] younger brother; junior male; I (modest word in letter); [tì] variant of 悌[ti4]; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
愉,[yú] pleased; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
我,[wǒ] I; me; my; 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
打,[dá] dozen (loanword); [dǎ] to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
易,[Yì] surname Yi; abbr. for 易經|易经[Yi4 jing1], the Book of Changes; [yì] easy; amiable; to change; to exchange; 
晚,[wǎn] evening; night; late; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朋,[péng] friend; 
服,[fú] clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes; [fù] dose (measure word for medicine); 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
来,[lái] to come; to arrive; to come round; ever since; next; 
林,[Lín] surname Lin; [lín] woods; forest; CL:片[pian4]; circle(s) (i.e. specific group of people); a collection (of similar things); 
果,[guǒ] fruit; result; resolute; indeed; if really; 
查,[Zhā] surname Zha; [chá] to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary); [zhā] see 山查[shan1 zha1]; 
检,[jiǎn] to check; to examine; to inspect; to exercise restraint; 
汉,[Hàn] Han ethnic group; Chinese (language); the Han dynasty (206 BC-220 AD); [hàn] man; 
汗,[hán] see 可汗[ke4 han2], 汗國|汗国[han2 guo2]; [hàn] perspiration; sweat; CL:滴[di1],頭|头[tou2],身[shen1]; to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); 
活,[huó] to live; alive; living; work; workmanship; 
烧,[shāo] to burn; to cook; to stew; to bake; to roast; to boil (tea, water etc); fever; 
然,[rán] correct; right; so; thus; like this; -ly; 
玩,[wán] toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play; to have fun; to trifle with; to keep sth for entertainment; 
现,[xiàn] to appear; present; now; existing; current; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
疼,[téng] (it) hurts; sore; to love dearly; 
病,[bìng] illness; CL:場|场[chang2]; disease; to fall ill; defect; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
知,[zhī] to know; to be aware; 
碗,[wǎn] bowl; cup; CL:隻|只[zhi1],個|个[ge4]; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
老,[lǎo] prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
舍,[Shè] surname She; [shè] residence; 
舒,[Shū] surname Shu; [shū] to stretch; to unfold; to relax; leisurely; 
药,[yào] leaf of the iris; variant of 藥|药[yao4]; [yào] medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種|种[zhong3],服[fu4],味[wei4]; to poison; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
语,[yǔ] dialect; language; speech; [yù] to tell to; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
课,[kè] subject; course; CL:門|门[men2]; class; lesson; CL:堂[tang2],節|节[jie2]; to levy; tax; form of divination; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
学习,[xué xí] to learn; to study; 
晚上,[wǎn shang] evening; night; CL:個|个[ge4]; in the evening; 
咳嗽,[ké sou] to cough; CL:陣|阵[zhen4]; 
医院,[yī yuàn] hospital; CL:所[suo3],家[jia1],座[zuo4]; 
家的,[jiā de] (old) wife; 
家里,[jiā lǐ] home; 
哥哥,[gē ge] older brother; CL:個|个[ge4],位[wei4]; 
来看,[lái kàn] to come and see; to see a topic from a certain point of view; 
容易,[róng yì] easy; likely; liable (to); 
下午,[xià wǔ] afternoon; CL:個|个[ge4]; p.m.; 
果然,[guǒ rán] really; sure enough; as expected; if indeed; 
宿舍,[sù shè] dormitory; dorm room; living quarters; hostel; CL:間|间[jian1]; 
喜庆,[xǐ qìng] jubilation; festive; 
检查,[jiǎn chá] inspection; to examine; to inspect; CL:次[ci4]; 
一起,[yī qǐ] in the same place; together; with; altogether (in total); 
汉语,[Hàn yǔ] Chinese language; CL:門|门[men2]; 
嗓子,[sǎng zi] throat; voice; CL:把[ba3]; 
厉害,[lì hai] difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome; 
不想,[bù xiǎng] unexpectedly; 
因为,[yīn wèi] because; owing to; on account of; 
面条,[miàn tiáo] noodles; 
玩儿,[wán r] to play; to have fun; to hang out; 
常常,[cháng cháng] frequently; usually; often; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
生活,[shēng huó] life; activity; to live; livelihood; 
发烧,[fā shāo] to have a high temperature (from illness); to have a fever; 
上午,[shàng wǔ] morning; CL:個|个[ge4]; 
大夫,[dà fū] senior official (in imperial China); [dài fu] doctor; physician; 
弟弟,[dì di] younger brother; CL:個|个[ge4],位[wei4]; 
可能,[kě néng] might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]; 
今天,[jīn tiān] today; at the present; now; 
知道,[zhī dào] to know; to become aware of; also pr. [zhi1 dao5]; 
得很,[de hěn] very (much, good etc); 
上课,[shàng kè] to go to class; to attend class; to go to teach a class; 
头疼,[tóu téng] headache; 
老师,[lǎo shī] teacher; CL:個|个[ge4],位[wei4]; 
想家,[xiǎng jiā] homesick; 
,
愉快,[yú kuài] cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted; 
舒服,[shū fu] comfortable; feeling well; 
,
感冒,[gǎn mào] to catch cold; (common) cold; CL:場|场[chang2],次[ci4]; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand; 
感到,[gǎn dào] to feel; to sense; to have the feeling that; to think that; to move; to affect; 
他们,[tā men] they; 
我们,[wǒ men] we; us; ourselves; our; 
听说,[tīng shuō] to hear (sth said); one hears (that); hearsay; listening and speaking; 
所以,[suǒ yǐ] therefore; as a result; so; the reason why; 
身上,[shēn shang] on the body; at hand; among; 
姐姐,[jiě jie] older sister; CL:個|个[ge4]; 
还有,[hái yǒu] furthermore; in addition; still; also; 
北京,[Běi jīng] Beijing, capital of People's Republic of China; Peking; PRC government; 
这儿,[zhè r] here; 
时候,[shí hou] time; length of time; moment; period; 
一些,[yī xiē] some; a few; a little; 
寂寞,[jì mò] lonely; lonesome; (of a place) quiet; silent; 
一下儿,[yī xià r] erhua variant of 一下[yi1 xia4]; 
好朋友,[hǎo péng you] good friend; (slang) a visit from Aunt Flo (menstrual period); 
在一起,[zài yī qǐ] together; 
一个人,[yī gè rén] by oneself (without assistance); alone (without company); 
