志,[zhì] aspiration; ambition; the will; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
劫,[jié] to rob; to plunder; to seize by force; to coerce; calamity; abbr. for kalpa 劫波[jie2 bo1]; 
厢,[xiāng] box (in theater); side room; side; 
及,[jí] and; to reach; up to; in time for; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
车,[Chē] surname Che; [chē] car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; [jū] war chariot (archaic); rook (in Chinese chess); rook (in chess); 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
该,[gāi] should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned; 
只,[zhǐ] only; merely; just; but; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
右,[yòu] right (-hand); the Right (politics); west (old); 
司,[Sī] surname Si; [sī] to take charge of; to manage; department (under a ministry); 
袭,[xí] to attack; to inherit; classifier for suits (esp. of funeral robes); 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
吉,[Jí] surname Ji; abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3]; [jí] lucky; giga- (meaning billion or 10^9); 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
员,[yuán] person; employee; member; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
哥,[gē] elder brother; 
因,[yīn] cause; reason; because; 
者,[zhě] (after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this; 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
纳,[Nà] surname Na; [nà] to receive; to accept; to enjoy; to bring into; to pay (tax etc); nano- (one billionth); to reinforce sole of shoes or stockings by close sewing; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
坡,[pō] slope; CL:個|个[ge4]; sloping; slanted; 
埃,[āi] dust; dirt; Angstrom or Ångström, unit of length equal to 10^-10 meters; phonetic ai or e; abbr. for Egypt 埃及[Ai1 ji2]; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
增,[zēng] to increase; to expand; to add; 
粉,[fěn] powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; whitewash; white; pink; 
墨,[Mò] surname Mo; abbr. for 墨西哥[Mo4 xi1 ge1], Mexico; [mò] ink stick; China ink; CL:塊|块[kuai4]; corporal punishment consisting of tattooing characters on the victim's forehead; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
失,[shī] to lose; to miss; to fail; 
女,[nǔ:] female; woman; daughter; [rǔ] archaic variant of 汝[ru3]; 
端,[duān] end; extremity; item; port; to hold sth level with both hands; to carry; regular; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
妇,[fù] woman; [fù] old variant of 婦|妇[fu4]; 
称,[chèn] to fit; balanced; suitable; [chēng] to weigh; to state; to name; name; appellation; to praise; [chèng] variant of 秤[cheng4]; steelyard; 
媒,[méi] medium; intermediary; matchmaker; go-between; abbr. for 媒體|媒体[mei2 ti3], media, esp. news media; 
租,[zū] to hire; to rent; to charter; to rent out; to lease out; rent; land tax; 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
社,[shè] society; group; club; agency; (old) god of the land; 
客,[kè] customer; visitor; guest; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
害,[hài] to do harm to; to cause trouble to; harm; evil; calamity; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
尔,[ěr] variant of 爾|尔[er3]; [ěr] thus; so; like that; you; thou; 
展,[Zhǎn] surname Zhan; [zhǎn] to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition; 
岁,[suì] variant of 歲|岁[sui4], year; years old; [suì] classifier for years (of age); year; year (of crop harvests); 
左,[Zuǒ] surname Zuo; [zuǒ] left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuo3]; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
希,[xī] to hope; to admire; variant of 稀[xi1]; 
男,[nán] male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4]; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
庭,[tíng] main hall; front courtyard; law court; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
璃,[lí] colored glaze; glass; 
玻,[bō] glass; 
很,[hěn] (adverb of degree); quite; very; awfully; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
不,[bù] (negative prefix); not; no; 
忧,[yōu] to worry; to concern oneself with; worried; anxiety; sorrow; a parent's funeral; inconvenienced by being orphaned; 
性,[xìng] nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence; CL:個|个[ge4]; 
然,[rán] correct; right; so; thus; like this; -ly; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
烈,[liè] ardent; intense; fierce; stern; upright; to give one's life for a noble cause; exploits; achievements; 
我,[wǒ] I; me; my; 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
扰,[rǎo] to disturb; 
抢,[qiāng] see 搶風|抢风[qiang1 feng1]; [qiǎng] to fight over; to rush; to scramble; to grab; to rob; to snatch; 
流,[liú] to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade; 
护,[hù] to protect; 
报,[bào] to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]; 
担,[dān] to undertake; to carry; to shoulder; to take responsibility; [dàn] picul (100 catties, 50 kg); two buckets full; carrying pole and its load; classifier for loads carried on a shoulder pole; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
此,[cǐ] this; these; 
挡,[dǎng] to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear; [dàng] to arrange; to put in order; [dǎng] variant of 擋|挡[dang3]; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
据,[jù] variant of 據|据[ju4]; [jū] see 拮据[jie2 ju1]; [jù] variant of 據|据[ju4]; [jù] according to; to act in accordance with; to depend on; to seize; to occupy; 
推,[tuī] to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
措,[cuò] to handle; to manage; to put in order; to arrange; to administer; to execute; to take action on; to plan; 
搭,[dā] to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); 
标,[biāo] the topmost branches of a tree; surface; sign; to mark; (outward) sign; indication; prize; award; bid; 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
来,[lái] to come; to arrive; to come round; ever since; next; 
文,[Wén] surname Wen; [wén] language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 118; 
机,[Jī] surname Ji; [jī] machine; engine; opportunity; intention; aircraft; pivot; crucial point; flexible (quick-witted); organic; CL:臺|台[tai2]; 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
末,[mò] tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
暴,[Bào] surname Bao; [bào] sudden; violent; cruel; to show or expose; to injure; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
朗,[lǎng] clear; bright; 
曾,[Zēng] surname Zeng; [céng] once; already; ever (in the past); former; previously; (past tense marker used before verb or clause); [zēng] great-grand (father, child etc); 
月,[yuè] moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]; 
有,[yǒu] to have; there is; there are; to exist; to be; 
骚,[sāo] trouble; disturbance; rumpus; flirty; coquettish; abbr. for 離騷|离骚[Li2 Sao1]; literary writings; smell of urine; foul smell; male (animal) (dialect); 
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
更加,[gèng jiā] more (than sth else); even more; 
暴力,[bào lì] violence; force; violent; 
日报,[rì bào] daily newspaper; 
文员,[wén yuán] office worker; clerk; 
数量,[shù liàng] amount; quantity; CL:個|个[ge4]; quantitative; 
搭载,[dā zài] to transport (people, a payload etc); 
标志,[biāo zhì] sign; mark; symbol; to symbolize; to indicate; to mark; 
推出,[tuī chū] to push out; to release; to launch; to publish; to recommend; 
驾驶,[jià shǐ] to pilot (ship, airplane etc); to drive; 
欢迎,[huān yíng] to welcome; welcome; 
担忧,[dān yōu] to worry; to be concerned; 
此前,[cǐ qián] before this; before then; previously; 
担心,[dān xīn] anxious; worried; uneasy; to worry; to be anxious; 
法国,[Fǎ guó] France; French; 
抢劫,[qiǎng jié] to rob; looting; 
流失,[liú shī] drainage; to run off; to wash away; 
我们,[wǒ men] we; us; ourselves; our; 
火车,[huǒ chē] train; CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]; 
成为,[chéng wéi] to become; to turn into; 
感到,[gǎn dào] to feel; to sense; to have the feeling that; to think that; to move; to affect; 
热烈,[rè liè] enthusiastic; ardent; warm; 
不过,[bù guò] only; merely; no more than; but; however; anyway (to get back to a previous topic); 
当然,[dāng rán] only natural; as it should be; certainly; of course; without doubt; 
当地,[dāng dì] local; 
常常,[cháng cháng] frequently; usually; often; 
希望,[xī wàng] to wish for; to desire; hope; CL:個|个[ge4]; 
男性,[nán xìng] the male sex; a male; 
左右,[zuǒ yòu] left and right; nearby; approximately; attendant; to control; to influence; 
家庭,[jiā tíng] family; household; CL:戶|户[hu4],個|个[ge4]; 
目标,[mù biāo] target; goal; objective; CL:個|个[ge4]; 
安全,[ān quán] safe; secure; safety; security; 
社会,[shè huì] society; CL:個|个[ge4]; 
字样,[zì yàng] model or template character; written slogan or phrase; mention (e.g. "air mail" 航空 on a letter, "first draft" 初稿 on a document etc); 
媒体,[méi tǐ] media, esp. news media; 
妇女,[fù nǔ:] woman; 
女性,[nǔ: xìng] woman; the female sex; 
专用,[zhuān yòng] special; dedicated; 
增加,[zēng jiā] to raise; to increase; 
为了,[wèi le] in order to; for the purpose of; so as to; 
埃及,[Aī jí] Egypt; 
有的,[yǒu de] (there are) some (who are...); some (exist); 
纳西,[Nà xī] Nakhi (ethnic group); 
因此,[yīn cǐ] thus; consequently; as a result; 
,
首都,[shǒu dū] capital (city); CL:個|个[ge4]; 
合作,[hé zuò] to cooperate; to collaborate; to work together; cooperation; CL:個|个[ge4]; 
行为,[xíng wéi] action; conduct; behavior; activity; 
司机,[sī jī] chauffeur; driver; CL:個|个[ge4]; 
袭击,[xí jī] attack (esp. surprise attack); raid; to attack; 
可能,[kě néng] might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]; 
举措,[jǔ cuò] to move; to act; action; decision; conduct; manner; 
受到,[shòu dào] to receive; to suffer; obtained; given; 
发起,[fā qǐ] to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time); 
发展,[fā zhǎn] development; growth; to develop; to grow; to expand; 
车厢,[chē xiāng] carriage; CL:節|节[jie2]; 
乘客,[chéng kè] passenger; 
到了,[dào liǎo] at last; finally; in the end; 
项目,[xiàng mù] item; project; sports event; CL:個|个[ge4]; 
出租,[chū zū] to rent; 
其他,[qí tā] other; (sth or sb) else; the rest; 
公司,[gōng sī] (business) company; company; firm; corporation; incorporated; CL:家[jia1]; 
这些,[zhè xiē] these; 
这种,[zhè zhǒng] this; this kind of; this sort of; this type of; 
乘车,[chéng chē] to ride (in a car or carriage); to drive; to motor; 
免受,[miǎn shòu] to avoid suffering; to prevent (sth bad); to protect against (damage); immunity (from prosecution); freedom (from pain, damage etc); exempt from punishment; 
保护,[bǎo hù] to protect; to defend; to safeguard; protection; CL:種|种[zhong3]; 
侵害,[qīn hài] to encroach on; to infringe on; 
伤害,[shāng hài] to injure; to harm; 
除了,[chú le] besides; apart from (... also...); in addition to; except (for); 
伊朗,[Yī lǎng] Iran; 
以免,[yǐ miǎn] in order to avoid; so as not to; 
顶端,[dǐng duān] summit; peak; 
国都,[guó dū] national capital; 
公交车,[gōng jiāo chē] public transport vehicle; town bus; CL:輛|辆[liang4]; 
办公室,[bàn gōng shì] office; business premises; bureau; CL:間|间[jian1]; 
受害者,[shòu hài zhě] casualty; victim; those injured and wounded; 
吉隆坡,[Jí lóng pō] Kuala Lumpur, capital of Malaysia; 
出租车,[chū zū chē] taxi; (Taiwan) rental car; 
性骚扰,[xìng sāo rǎo] sexual harassment; 
墨西哥,[Mò xī gē] Mexico; 
粉红色,[fěn hóng sè] pink; 
马来西亚,[Mǎ lái xī yà] Malaysia; 
挡风玻璃,[dǎng fēng bō li] windshield; wind screen; 
