小,[xiǎo] small; tiny; few; young; 
蒸,[zhēng] to evaporate; (of cooking) to steam; torch made from hemp stalks or bamboo (old); finely chopped firewood (old); 
天,[tiān] day; sky; heaven; 
茜,[qiàn] Rubia cordifolia; Indian madder; munjeet; [xī] used in the transliteration of people's names; 
失,[shī] to lose; to miss; to fail; 
奶,[nǎi] breast; milk; to breastfeed; 
自,[zì] from; self; oneself; since; 
她,[tā] she; 
如,[rú] as; as if; such as; 
妈,[mā] ma; mom; mother; 
脸,[liǎn] face; CL:張|张[zhang1],個|个[ge4]; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
孝,[xiào] filial piety or obedience; mourning apparel; 
肚,[dǔ] tripe; [dù] belly; 
,
考,[kǎo] to check; to verify; to test; to examine; to take an exam; to take an entrance exam for; deceased father; 
定,[dìng] to set; to fix; to determine; to decide; to order; 
宣,[Xuān] surname Xuan; [xuān] to declare (publicly); to announce; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
级,[jí] level; grade; rank; step (of stairs); CL:個|个[ge4]; classifier: step, level; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
糕,[gāo] cake; 
岁,[suì] variant of 歲|岁[sui4], year; years old; [suì] classifier for years (of age); year; year (of crop harvests); 
布,[bù] cloth; to declare; to announce; to spread; to make known; 
帮,[bāng] old variant of 幫|帮[bang1]; [bāng] old variant of 幫|帮[bang1]; [bāng] to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; group; gang; clique; party; secret society; 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
签,[qiān] to sign one's name; visa; variant of 籤|签[qian1]; [qiān] Japanese variant of 籤|签[qian1]; [qiān] inscribed bamboo stick (used in divination, gambling, drawing lots etc); small wood sliver; label; tag; 
并,[bìng] and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; [bìng] to combine; to amalgamate; [bìng] variant of 並|并[bing4]; 
张,[Zhāng] surname Zhang; [zhāng] to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
忙,[máng] busy; hurriedly; to hurry; to rush; 
怎,[zěn] how; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
您,[nín] you (courteous, as opposed to informal 你[ni3]); 
我,[wǒ] I; me; my; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
抢,[qiāng] see 搶風|抢风[qiang1 feng1]; [qiǎng] to fight over; to rush; to scramble; to grab; to rob; to snatch; 
担,[dān] to undertake; to carry; to shoulder; to take responsibility; [dàn] picul (100 catties, 50 kg); two buckets full; carrying pole and its load; classifier for loads carried on a shoulder pole; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
捡,[jiǎn] to pick up; to collect; to gather; 
文,[Wén] surname Wen; [wén] language; culture; writing; formal; literary; gentle; (old) classifier for coins; Kangxi radical 118; 
痛,[tòng] ache; pain; sorrow; deeply; thoroughly; 
是,[shì] is; are; am; yes; to be; 
有,[yǒu] to have; there is; there are; to exist; to be; 
李,[Lǐ] surname Li; [lǐ] plum; 
来,[lái] to come; to arrive; to come round; ever since; next; 
标,[biāo] the topmost branches of a tree; surface; sign; to mark; (outward) sign; indication; prize; award; bid; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
校,[jiào] to proofread; to check; to compare; [xiào] school; military officer; CL:所[suo3]; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
父,[fù] father; 
班,[Bān] surname Ban; [bān] team; class; squad; work shift; ranking; CL:個|个[ge4]; classifier for groups; 
爸,[bà] father; dad; pa; papa; 
黏,[nián] sticky; glutinous; to adhere; to stick; 
爸爸,[bà ba] (informal) father; CL:個|个[ge4],位[wei4]; 
标签,[biāo qiān] label; tag; tab (of a window) (computing); 
用品,[yòng pǐn] articles for use; products; goods; 
文具,[wén jù] stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc); 
担心,[dān xīn] anxious; worried; uneasy; to worry; to be anxious; 
怎样,[zěn yàng] how; why; 
第一,[dì yī] first; number one; 
年级,[nián jí] grade; year (in school, college etc); CL:個|个[ge4]; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
,
一定,[yī dìng] surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must; 
宣布,[xuān bù] to declare; to announce; to proclaim; 
,
孝子,[xiào zǐ] filial son; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
脸颊,[liǎn jiá] cheek; 
奶奶,[nǎi nai] (informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies; breasts; 
天气,[tiān qì] weather; 
多余,[duō yú] superfluous; unnecessary; surplus; 
回家,[huí jiā] to return home; 
商场,[shāng chǎng] shopping mall; shopping center; department store; emporium; CL:家[jia1]; the business world; 
父亲,[fù qīn] father; also pr. [fu4 qin5]; CL:個|个[ge4]; 
告诉,[gào su] to tell; to inform; to let know; 
许多,[xǔ duō] many; a lot of; much; 
名字,[míng zi] name (of a person or thing); CL:個|个[ge4]; 
别人,[bié ren] other people; others; other person; 
冰糕,[bīng gāo] ice-cream; popsicle; ice-lolly; sorbet; 
全班,[quán bān] the whole class; 
还给,[huán gěi] to return sth to sb; 
儿子,[ér zi] son; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
假如,[jiǎ rú] if; 
连忙,[lián máng] promptly; at once; 
你们,[nǐ men] you (plural); 
遗失,[yí shī] to lose; lost; 
以后,[yǐ hòu] after; later; afterwards; following; later on; in the future; 
今年,[jīn nián] this year; 
郑重,[zhèng zhòng] serious; solemn; 
于是,[yú shì] thereupon; as a result; consequently; thus; hence; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
不许,[bù xǔ] not to allow; must not; can't; 
不会,[bù huì] improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; 
高兴,[gāo xìng] happy; glad; willing (to do sth); in a cheerful mood; 
哥哥,[gē ge] older brother; CL:個|个[ge4],位[wei4]; 
