是,[shì] is; are; am; yes; to be; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
街,[jiē] street; CL:條|条[tiao2]; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
赶,[gǎn] to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
跑,[páo] (of an animal) to paw (the ground); [pǎo] to run; to run away; to escape; to run around (on errands etc); (of a gas or liquid) to leak or evaporate; (verb complement) away; off; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
银,[yín] silver; silver-colored; relating to money or currency; 
陪,[péi] to accompany; to keep sb company; to assist; old variant of 賠|赔[pei2]; 
雨,[yǔ] rain; CL:陣|阵[zhen4],場|场[chang2]; [yù] to rain; (of rain, snow etc) to fall; to precipitate; to wet; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
音,[yīn] sound; noise; note (of musical scale); tone; news; syllable; reading (phonetic value of a character); 
传来,[chuán lái] (of a sound) to come through; to be heard; (of news) to arrive; 
回家,[huí jiā] to return home; 
今天,[jīn tiān] today; at the present; now; 
希望,[xī wàng] to wish for; to desire; hope; CL:個|个[ge4]; 
紫色,[zǐ sè] purple; violet (color); 
声音,[shēng yīn] voice; sound; CL:個|个[ge4]; 
红色,[hóng sè] red (color); revolutionary; 
一片,[yī piàn] piece; slice; 
美丽,[měi lì] beautiful; 
极了,[jí le] extremely; exceedingly; 
外面,[wài miàn] surface; exterior; external appearance; [wài mian] outside; 
每天,[měi tiān] every day; everyday; 
行人,[xíng rén] pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor; 
作业,[zuò yè] school assignment; homework; work; task; operation; CL:個|个[ge4]; to operate; 
街上,[jiē shang] on the street; in town; 
滴答,[dī dā] (onom.) pattering sound; drip drip (of water); tick tock (of clock); also pr. [di1 da5]; 
我们,[wǒ men] we; us; ourselves; our; 
觉得,[jué de] to think; to feel; 
漂亮,[piào liang] pretty; beautiful; 
天空,[tiān kōng] sky; 
赶忙,[gǎn máng] to hurry; to hasten; to make haste; 
灰色,[huī sè] gray; ash gray; grizzly; pessimistic; gloomy; dispirited; ambiguous; 
下雨,[xià yǔ] to rain; rainy; 
向下,[xiàng xià] down; downward; 
还有,[hái yǒu] furthermore; in addition; still; also; 
白色,[bái sè] white; fig. reactionary; anti-communist; 
时候,[shí hou] time; length of time; moment; period; 
黄色,[huáng sè] yellow (color); pornographic; 
陪伴,[péi bàn] to accompany; 
听见,[tīng jiàn] to hear; 
雨伞,[yǔ sǎn] umbrella; CL:把[ba3]; 
真是,[zhēn shi] indeed; truly; (coll.) (used to express disapproval, annoyance etc about sth); 
一定,[yī dìng] surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must; 
晴朗,[qíng lǎng] sunny and cloudless; 
好朋友,[hǎo péng you] good friend; (slang) a visit from Aunt Flo (menstrual period); 
