摇,[Yáo] surname Yao; [yáo] to shake; to rock; to row; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
翅,[chì] wing; 
突,[tū] to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden; Taiwan pr. [tu2]; 
终,[zhōng] end; finish; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
齐,[Qí] (name of states and dynasties at several different periods); surname Qi; [qí] neat; even; level with; identical; simultaneous; all together; to even sth out; 
红色,[hóng sè] red (color); revolutionary; 
突然,[tū rán] sudden; abrupt; unexpected; 
终于,[zhōng yú] at last; in the end; finally; eventually; 
看见,[kàn jiàn] to see; to catch sight of; 
翅膀,[chì bǎng] wing; CL:個|个[ge4],對|对[dui4]; 
白色,[bái sè] white; fig. reactionary; anti-communist; 
然后,[rán hòu] after; then (afterwards); after that; afterwards; 
游戏,[yóu xì] game; CL:場|场[chang3]; to play; 
浑身,[hún shēn] all over; from head to foot; 
花丛,[huā cóng] cluster of flowers; inflorescence; flowering shrub; 
花园,[huā yuán] garden; CL:座[zuo4],個|个[ge4]; 
摇头,[yáo tóu] to shake one's head; 
蝴蝶,[hú dié] butterfly; CL:隻|只[zhi1]; 
一块,[yī kuài] one block; one piece; one (unit of money); together; in the same place; in company; 
我们,[wǒ men] we; us; ourselves; our; 
对白,[duì bái] stage dialog; 
姐姐,[jiě jie] older sister; CL:個|个[ge4]; 
黄花,[huáng huā] yellow flowers (of various types); chrysanthemum; cauliflower; (yellow) daylily; a young virgin (boy or girl); 
,
,
赶忙,[gǎn máng] to hurry; to hasten; to make haste; 
赶走,[gǎn zǒu] to drive out; to turn back; 
红花,[hóng huā] safflower (Carthamus tinctorius); 
黄色,[huáng sè] yellow (color); pornographic; 
跳舞,[tiào wǔ] to dance; 
叶子,[yè zi] foliage; leaf; CL:片[pian4]; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
躲雨,[duǒ yǔ] to take shelter from the rain; 
只是,[zhǐ shì] merely; simply; only; but; 
还是,[hái shi] or; still; nevertheless; had better; 
发抖,[fā dǒu] to tremble; to shake; to shiver; 
这时,[zhè shí] at this time; at this moment; 
其他,[qí tā] other; (sth or sb) else; the rest; 
进来,[jìn lái] to come in; 
公公,[gōng gong] husband's father; grandpa; eunuch; 
那里,[nà li] there; that place; also written 那裡|那里; [nà li] there; that place; 
停下,[tíng xià] to stop; 
他们,[tā men] they; 
乌云,[wū yún] black cloud; 
下面,[xià mian] below; under; next; the following; 
一齐,[yī qí] at the same time; simultaneously; 
一起,[yī qǐ] in the same place; together; with; altogether (in total); 
天天,[tiān tiān] every day; 
一块儿,[yī kuài r] erhua variant of 一塊|一块[yi1 kuai4]; 
在一起,[zài yī qǐ] together; 
好朋友,[hǎo péng you] good friend; (slang) a visit from Aunt Flo (menstrual period); 
